date,rf,mktrf,smb,hml,rmw,cma,mom,lt_rev,st_rev,nodur,durbl,manuf,enrgy,chems,buseq,telcm,utils,shops,hlth,money,other
199111,0.38999999,-4.1900001,-0.87,-1.9299999,1.08,0.12,1.26,-2.6800001,-0.40000001,-0.90999997,-8.3599997,-6.02,-8.0600004,-5.4499998,-4.75,-5.3099999,1.5,-1.6,-2.9400001,-5.5099998,-6.2599998
199112,0.38,10.84,-2.4200001,-4.0300002,3.5799999,-3.1199999,8.3000002,-0.93000001,1.01,14.25,7.2599998,11.15,1.5600001,11.09,8.79,9.4499998,4.6300001,12.62,16.09,12.88,10.78
199201,0.34,-0.58999997,9.2600002,4.5100002,-1.33,3.1500001,-2.51,9.46,5.3099999,-3.3899999,10.15,1.6,-4.4900002,2.46,6.2599998,-2.9599998,-4.9200001,-0.009999991,-5.8900003,0.49999997,4.4400001
199202,0.28,1.09,1.35,6.3699999,0.090000004,2.04,-0.57999998,5.4400001,-2.6900001,0.82000005,12,2.03,-0.79999995,1.1900001,3.6000001,-1.49,-1.51,2.3199999,-2.8699999,2.6900001,3.1900001
199203,0.34,-2.6600001,-0.89999998,3.6500001,-0.079999998,1.9299999,-0.36000001,1.38,-1.09,-1.9,0.45000002,-2.4599998,-3.1199999,0.29999998,-5.5100002,-1.3200001,-0.87,-1.6700001,-5.8000002,-1.16,-5.1000004
199204,0.31999999,1.0700001,-5.73,4.3099999,1.71,2.22,-2.5999999,0.75999999,-3.3599999,0.42000002,7.5799999,1.71,9.1500006,4.6799998,-1.3,6.5299997,2.3600001,-3.8,-2.47,0.57999998,-0.62
199205,0.28,0.30000001,0.20999999,1.28,-0.95999998,0.43000001,0.13,-0.47,-0.18000001,1.1,-2.2,-0.90999997,2.9200001,-0.69,-0.2,-1.98,2.26,-0.099999994,0.80000007,2.25,-0.85000002
199206,0.31999999,-2.3399999,-2.71,3.4000001,-0.029999999,1.0700001,-0.61000001,1.29,0.88,-3.2,1.8400002,-2.5,-3.8,-5.9000001,-4.3900003,0.92000002,0.22000003,-2.22,-5,0.93000001,-2.99
199207,0.31,3.77,-0.61000001,-0.52999997,1.5599999,-0.72000003,1.4400001,-1.3,2.05,4.3600001,0.12,1.6800001,5.04,4.8899999,2.7,5.0599999,6.3800001,3.53,5.4099998,3.3600001,1.8400002
199208,0.25999999,-2.3800001,-0.41999999,-1.03,3.79,-1.62,-0.50999999,-4.0900002,-1.5700001,0.59000003,-9.7200003,-3.23,2.3099999,-4.9799995,-4.8000002,-1.3099999,-0.75,-0.81,-3.5699999,-3.48,-4.1099997
199209,0.25999999,1.1900001,0.47999999,-0.20999999,1.54,-0.5,1.4299999,0.079999998,-1.15,0.84000003,0.030000001,1.8299999,-0.11999999,0.97000003,3.1099999,1.55,0.56,3.78,-5.1599998,3.1099999,3.3900001
199210,0.23,1.02,2.02,-2.0999999,1.3099999,-0.80000001,2.71,-1.1,-0.16,-1.08,-0.17,-0.12,-3.6900001,2.1099999,1.9100001,-0.75999999,-0.64999998,4.0900002,3.0899999,2.5899999,3.02
199211,0.23,4.1300001,3.9100001,-1.48,-0.83999997,-1.91,-0.34,0.31,-1.05,3.4200001,8.4100008,4.4899998,-2.8700001,2.1700001,6.0900002,4.0599999,-0.47,6.96,4.6399999,6.2800002,4.7199998
199212,0.28,1.53,1.64,2.52,-0.44,0.75,4.4400001,0.76999998,1.21,-0.2,3.0899999,1.8399999,1.64,-0.16,-0.27000001,5.29,2.4200001,0.33000001,-1.6799999,4.3299999,1.74
199301,0.23,0.93000001,2.0899999,5.8699999,-1.77,2.78,4.8299999,5.5300002,-0.50999999,-1.01,9.25,0.98000002,2.52,-2.99,4.6300001,0.92999995,2.22,-0.2,-7,3.4200001,2.1800001
199302,0.22,0.12,-3.4200001,6.4200001,-0.5,4.0500002,3.0999999,4.2800002,-1.42,-2.27,-0.5,1.3099999,5.7900004,1.7099999,-0.5,5.5,5.9900002,-1.74,-9.1599998,0.76999998,-1.22
199303,0.25,2.3,0.050000001,1.22,-0.28999999,0.92000002,3.74,1.75,-0.94,-0.23999999,5.1999998,2.45,3.8499999,1,1.98,3.01,1.52,2.52,0.56,4.1100001,2.51
199304,0.23999999,-3.05,-0.86000001,2.6099999,-3.6900001,1.52,0.33000001,2.4200001,-1.71,-9.4799995,2.0699999,-0.92000002,0.93999994,1.01,-3.9000001,-3.1099999,-0.38999999,-8.3800001,1.0699999,-3.95,-2.3199999
199305,0.22,2.8900001,1.88,-3.4100001,-0.01,-1.1799999,0.28999999,1.22,1.45,2.45,0.86000001,2.6399999,1.52,1.0799999,8.5599995,4.0100002,-0.28,5.6500001,3.3899999,0.21000001,4.52
199306,0.25,0.31,0.11,2.6199999,-1.0599999,1.09,4.5799999,1.6799999,2.24,-1,3.0599999,0.31,-1.37,-2.23,-0.69,4.3899999,2.9300001,-3.1400001,-3.1800001,3.6400001,-1.78
199307,0.23999999,-0.34,0.89999998,3.24,-2.1800001,2.02,3.24,0.97000003,-2.6800001,-2.5999999,1.4399999,0.14999999,0.23999999,-1.1999999,-4.1399999,1.9100001,1.71,0.40999997,-6.2299995,2.1600001,0.91999996
199308,0.25,3.71,0.25,-0.44999999,-1.16,-0.029999999,2.5799999,1.15,1.23,4.0300002,0.25,3.5899999,3.9699998,2.2,6.1799998,5.2199998,3.4200001,3.72,2.8099999,2.9100001,3.9299998
199309,0.25999999,-0.12,3.0699999,-0.44999999,0.76999998,-0.090000004,3.4100001,0.40000001,0.66000003,-2.05,0.56,-2.04,1.1800001,-2.6500001,1.04,-0.74000001,-0.88999999,-0.57999998,0.66000003,2.0799999,-0.13
199310,0.22,1.41,1.61,-1.54,-0.1,0.60000002,-2.6700001,1.63,1.92,5.8700004,7.2900004,2.25,-2.0899999,4.6300001,1.35,2.3699999,-2.1800001,4.3900003,5.7800002,-3.98,1.28
199311,0.25,-1.89,-1.4299999,-0.27000001,1.55,-0.95999998,-4.71,1.5,-1.37,0.42000002,0.58999997,0.74000001,-6.1399999,1.36,-0.18000001,-6.29,-5.7600002,0.42000002,0.86000001,-4.0999999,-0.62
199312,0.23,1.65,1.36,0.56999999,0.69999999,-0.30000001,2.28,0.49000001,1.13,1.23,4.2800002,3.98,0.29999995,2.3899999,2.79,-0.67000002,1.38,-2.3199999,2.26,2.02,3.1500001
199401,0.25,2.8699999,-0.15000001,2.0899999,-2.28,1.47,0.02,3.73,1.73,-0.69,6.71,3.8200002,4.6100001,6.3400002,4.4899998,1.76,-1.47,0.38,1.67,3.9299998,4.6799998
199402,0.20999999,-2.55,2.6500001,-1.4400001,2.45,-1.05,-0.28999999,-0.16,0.41999999,-1.49,-4.5700002,-0.75,-3.1800001,-0.96999997,1.49,-5.7400002,-5.1599998,1.77,-5.7600002,-4.27,-3.74
199403,0.27000001,-4.7800002,-1.02,1.3099999,0.76999998,1.25,-1.33,0.56999999,0.1,-4.3200002,-6.6900001,-4.6799998,-3.9000001,-4.6100001,-4.1600003,-4.0100002,-4.2000003,-4.8800001,-6.9899998,-3.6399999,-6.5900002
199404,0.27000001,0.68000001,-1.05,1.6799999,1.01,1.12,0.41,0.18000001,-0.34999999,0.95000005,-0.72000003,-1.63,3.8600001,3.1400001,-1.84,1.15,1.8399999,-0.020000011,2.1300001,2.1700001,-1.75
199405,0.31,0.57999998,-2.47,0.2,0.89999998,0.70999998,-2.1500001,1.63,0.07,-1.6400001,-3.0799999,1.71,0.57999998,1.9300001,1.79,1.3499999,-5.6599998,-2.22,4.0599999,4,-0.38999999
199406,0.31,-3.03,-0.51999998,1.7,1.16,1.51,-0.81999999,0.47999999,0.17,-2.1400001,-3.74,-2.5599999,-2.99,-3.5599999,-5.52,0.39999998,-3.4400001,-2.9299998,-4,-2.9099998,-3.0799999
199407,0.28,2.8199999,-1.84,0.58999997,-0.88,0.14,0.19,0.49000001,1.41,2.6700001,3.4200001,4.54,3.02,3.6600001,3.6100001,2.9200001,4.8799996,0.52999997,0.75999999,2.51,1.99
199408,0.37,4.0100002,1.28,-2.8199999,0.87,-1.45,1.55,2.3499999,1.45,5.6800003,-0.60000002,3.5,-0.43000001,6.4500003,8.9400005,0.78999996,0.29000002,4.21,10.34,3.1799998,2.9000001
199409,0.37,-2.3099999,2.6600001,-1.9,0.61000001,0.94999999,1.3200001,1.6799999,-0.73000002,-0.69,-5.4299998,-2.1900001,-2.4499998,-1.63,-0.83000004,-1.47,-3.1500001,-2.71,1.36,-5.1300001,-3.2600002
199410,0.38,1.34,-2.29,-1.73,0.57999998,-0.63999999,1.4299999,0.60000002,-0.25,1.7800001,-1.84,-0.20999999,6.9899998,1.17,6.9000001,-0.47,1.1799999,0.84000003,0.5,-0.030000001,-0.73000002
199411,0.37,-4.04,0.12,-0.94,0.80000001,-0.44999999,-0.2,-1.62,-2.0899999,-2.03,-5.4400001,-5.6500001,-5.21,-6.1999998,-2.5,-5.8199997,-0.11000001,-3.7600002,0.060000002,-5.6900001,-5.1799998
199412,0.44,0.86000001,-0.02,0.55000001,0.41999999,0.31,3.5,0.12,0.82999998,0.88000005,3.3899999,4.21,-1.4300001,2.3,2.0799999,0.45999998,-0.090000004,-3.3,0.079999983,0.94999999,1.2
199501,0.41999999,1.8,-2.76,0.82999998,0.61000001,-0.83999997,-1.83,-0.56999999,4.0599999,1.4200001,-6.2600002,-0.62,-0.049999982,-1.24,-1.23,3.7799997,5.8099999,1.11,5.73,5.2199998,1.9
199502,0.40000001,3.6300001,-0.55000001,1.08,0.57999998,-0.33000001,-0.36000001,-0.97000003,2.4100001,2.5999999,4.6700001,5.4299998,4.0799999,4.3399997,6.3699999,1.11,0.41999999,2.29,1.84,4.5299997,4.2399998
199503,0.46000001,2.1900001,-0.73000002,-1.0700001,-0.33000001,0.19,0.38,1.12,-0.12,2.27,0.98000002,2.74,4.8099999,3.75,4.0999999,-0.18000001,-2.21,3.04,2.23,0.75,3.47
199504,0.44,2.1099999,-0.34,2.26,0.050000001,1.01,1.8,0.38999999,-0.55000001,1.4000001,0.96999997,2.25,1.8999999,3.22,7.8700004,1.1500001,1.9400001,-2.1099999,2.6299999,1.21,1.0799999
199505,0.54000002,2.9000001,-2.0599999,1.6900001,0.46000001,0.090000004,-0.43000001,-1.11,-0.41999999,4.1799998,4.3000002,2.5699999,3.54,2.8,2.55,0.089999974,5.4700003,2.1600001,1.0899999,5.6599998,-0.52000004
199506,0.47,2.72,2.95,-2.27,-0.47999999,-2.4300001,2.9000001,-1.8200001,1.24,1.22,0.35999998,2.21,-3.5599999,0.23999998,9.3400002,3.3899999,-0.93000001,4.4500003,3.99,1.26,2.8599999
199507,0.44999999,3.72,2.0999999,-1.6799999,0.50999999,-1.71,2.53,-0.89999998,-2.23,0.80000001,2.2,4.04,1.8499999,0.74000007,7.4500003,4.6900001,-0.82999998,3.0899999,4.8600001,3.74,6.1300001
199508,0.47,0.55000001,1.84,2.71,-1.38,1.64,0.090000004,-1.09,1.3099999,0.21000001,0.25000003,-0.70999998,-2.0799999,-0.49000001,-0.60000002,3.8599999,0.50999999,-3.25,0.56999993,4.7200003,-0.28
199509,0.43000001,3.3499999,-1.88,-0.75999999,1.3099999,0.36000001,2.71,-0.95999998,-0.83999997,6.2600002,-0.94999999,1.0599999,0.87999994,3.6899998,0.84999996,5.2000003,5.8099999,2.3199999,7.0300002,5.3300004,0.96999997
199510,0.47,-1.52,-4.04,-0.75,2.1700001,-0.039999999,4.1199999,0.5,-1.05,-0.10999998,-5.25,-3.1100001,-0.70999998,-3.26,1,-0.58999997,1.01,-5.9699998,0.67999995,-2.3899999,-2.8800001
199511,0.41999999,3.96,-1.17,0.94,-0.82999998,1.1900001,-0.63999999,0.66000003,0.56,4.0999999,5.0299997,6.0699997,4.3400002,6.0699997,-1.12,2.3799999,1.14,5.7399998,4.5299997,6.3299999,4.0799999
199512,0.49000001,1.03,0.67000002,0.86000001,-1.3200001,2.99,2.54,3.9300001,-0.95999998,1.21,2.6600001,1.45,5.3000002,0.089999974,-4.71,3.45,4.5699997,-1.3,5.4399996,0.75999999,0.26999998
199601,0.43000001,2.26,-2.5899999,0.30000001,-0.63,2.28,0.56999999,1.36,1.0599999,2.24,3.0599999,2.25,-0.79000002,4.5800004,1.48,1.8999999,1.48,-0.80000001,5.52,3.5,2.04
199602,0.38999999,1.33,1.8200001,-1.42,0.40000001,-1.8,0.57999998,-1.33,2.1500001,2.73,1.63,0.19,0.65999997,1.26,5.9100003,-2.5900002,-2.9699998,3.9400001,-1.46,1.7400001,2.2199998
199603,0.38999999,0.73000002,1.54,1,1.3,-0.97000003,-1.88,-0.23,-0.059999999,-1.3299999,3.8900003,2.5500002,4.5900002,4.3600001,-3.8299999,-2.26,-0.86000001,5.5700002,-0.14999999,0.56999999,3.3200002
199604,0.46000001,2.0599999,4.6399999,-3.9000001,0.17,-2.2,-0.91000003,-0.77999997,0.72000003,-0.36000001,3.0799999,2.0799999,2.98,-0.89999998,9.5699997,2.24,-3.05,3.7599998,-1.0600001,-1.5400001,3.1499999
199605,0.41999999,2.3599999,3.1700001,-1.2,0.43000001,-0.22,1.5599999,1.25,-1.05,6.1399999,1.8200001,2.5999999,0.060000002,0.34999999,3.4199998,-0.35999998,0.93000007,3.9699998,3.51,0.99000001,1.63
199606,0.40000001,-1.14,-3.47,1.5599999,3.47,1.08,1.01,-0.13,-0.23,2.8399999,-5.3299999,-0.73000002,0.51999998,-1.1799999,-5.29,0.030000001,4.8099999,-2.02,-0.59000003,0.24999997,-2.99
199607,0.44999999,-5.9699998,-3.6800001,4.4499998,2.8399999,2.5999999,-0.11,0.01,-2.5,-4.5499997,-4.6299996,-4.8899999,-5.1199999,-3.3099999,-7.96,-8.9899998,-6.27,-7.98,-6.5099998,-3.03,-9.0699997
199608,0.41,2.77,2.54,-0.46000001,-0.30000001,-2.4300001,-0.050000001,-1.54,2.6500001,-1.16,2.75,2.99,2.5599999,2.4199998,3.9799998,-1.33,2.48,5.4200001,3.78,3.7699997,2.8599999
199609,0.44,5.0100002,-1.3200001,-3.1400001,1.51,-2.1800001,2.6900001,-2.1300001,0.55000001,3.24,1.95,5.5499997,3.5599999,6.1100001,10.21,1.0799999,0.23000002,3.0799999,6.9000001,5.3400002,2.6900001
199610,0.41999999,0.86000001,-3.8900001,5.1199999,1.3200001,2.97,3.9100001,0.07,-1.13,1.36,-0.28999999,0.99000001,5.4200001,1.7300001,-1.5999999,-1.15,3.1899998,-2.6500001,-1.1,5.0499997,-0.78999996
199611,0.41,6.25,-3.79,1.16,2.01,-0.73000002,-2.23,-2.4300001,0.16,4.7200003,5.6000004,5.8000002,5.1200004,5.3600001,11.690001,5.2400002,2.1999998,2.7099998,6.25,8.04,4.3900003
199612,0.46000001,-1.7,3.22,0.89999998,0.56999999,1.51,0.61000001,-0.56999999,0.56,0.049999982,-3.6500001,-0.44,0.34,-2,-3.04,2.1700001,-0.31999999,-3.9200001,-3.1200001,-2.1099999,-2.6200001
199701,0.44999999,4.98,-1.8200001,-1.64,1.27,-0.27000001,1.95,-1.59,2.6800001,5.1300001,2.71,3.6200001,3.8700001,4.2800002,8.9200001,1.8899999,0.44999999,-0.27999997,9.1000004,6.1400003,4.0100002
199702,0.38999999,-0.49000001,-2.52,5.1900001,0.73000002,3.4000001,-2.05,0.85000002,1.26,3.7000003,-0.039999992,0.050000012,-6.0799999,1.38,-7.8099999,1.89,-0.95999998,2.6900001,0.55000001,3.54,-1.99
199703,0.43000001,-5.02,-0.47999999,3.8099999,0.34999999,1.67,0.97000003,2.0699999,0.91000003,-5.5499997,-4.3699999,-4.48,4.7800002,-3.3600001,-5.9400001,-8.0299997,-3.1900001,-1.72,-7.8299999,-7.0599999,-4.0900002
199704,0.43000001,4.04,-5.7399998,-0.07,3.29,-0.91000003,4.9200001,-4.0500002,2.3800001,4.7600002,1.8799999,4.9100003,-0.38,4.8900003,7.7900004,2.1099999,-1.8199999,1.78,5.73,5.8000002,1.5799999
199705,0.49000001,6.7399998,4.6500001,-3.8699999,-0.98000002,-2.9000001,-5.1599998,-2.2,2.8599999,5.3999996,6.1800003,7.9200001,6.8400002,5.8100004,9.6199999,6.1499996,3.28,5.5500002,6.4200001,5.3900003,7.0799999
199706,0.37,4.0999999,1.26,1.23,1.02,0.54000002,2.6199999,0.17,0.81,3.1599998,3.5300002,4.8200002,0.93999994,4.8699999,0.95000005,3.4099998,2.6900001,4.6500001,8.5200005,5.79,2.5
199707,0.43000001,7.3299999,-2.8299999,0.83999997,-0.23999999,-2.54,3.8099999,-1.17,3.8199999,2.9199998,7.0300002,6.6600003,6.9700003,6.8700004,15.58,2.3199999,2.3799999,7.3500004,1.6299999,10.19,4.54
199708,0.41,-4.1500001,7.6599998,1.38,-0.94,-0.029999999,-2.55,3.1600001,-0.07,-6.6599998,0.96000004,-5.3499999,-0.17,-7.5899997,-1.7199999,-2.6900001,-1.5699999,-2.98,-6.5499997,-6.0499997,-2.4400001
199709,0.44,5.3499999,2.5599999,0.02,-1.39,-0.91000003,1.45,-0.38,1.66,5.1199999,4.9000001,3.3299999,5.8600001,1.6099999,3.01,9.2400007,4.21,4.75,6.1700001,7.6500001,6.9400001
199710,0.41999999,-3.8,-0.5,1.96,1.09,1.89,-0.38,0.38999999,-0.95999998,-3.5600002,-3.72,-7.1399999,-2.4300001,-4,-8.8299999,2.9099998,0.51999998,-2.6200001,-0.16,-2.3199999,-5.4000001
199711,0.38999999,2.98,-5.0300002,0.77999997,3.0699999,1.66,0.28999999,1.01,-2.03,6.0599999,-2.02,3.4000001,-3.9400001,4.9900002,1.09,9.8699999,6.75,4.96,2.4699998,3.21,0.75999999
199712,0.47999999,1.3200001,-2.01,3.46,1.1799999,1.91,3.95,0.1,-3.05,3.3,3.6199999,-1.47,-1.99,1.23,-4.6799998,4.0799999,7.4899998,-0.71999997,3.0699999,5.4099998,3.02
199801,0.43000001,0.15000001,-1.4,-1.45,0.46000001,-0.82999998,0.11,-1.01,5,-3.3200002,0.12,1.29,-6.1599998,-2.26,4.8500004,4.4100003,-4.7999997,0.48000002,5.3000002,-3.27,-0.19000001
199802,0.38999999,7.04,-0.02,-0.13,-0.87,-2.4200001,-1.14,-1.1799999,1.87,4.75,11.889999,6.2000003,6.4400001,8.1399994,10,2.23,2.2600002,9.9899998,5.0599999,8.4399996,5.8600001
199803,0.38999999,4.7600002,-0.66000003,1.0599999,-1.02,-0.47999999,2.1500001,2.28,1.8200001,5.3299999,5.8499999,4.8099999,4.4100003,3.6400003,0.93000007,9.4200001,6.3800001,6.1600003,3.2199998,5.3499999,5.54
199804,0.43000001,0.73000002,-0.01,0.74000001,-2.1300001,-0.23,0.77999997,-0.93000001,1.72,-3.53,0.56,0.74999994,3.3699999,0.99999994,4.6900001,-3.46,-2.9400001,-0.81,1.49,1.4400001,1.1600001
199805,0.40000001,-3.0699999,-3.1099999,4.1599998,0.97000003,2.54,1.88,1.51,0.70999998,0.68000007,6.7999997,-4.1700001,-4.5999999,0.51999998,-7.3600001,-2.05,-1.28,1.7400001,-2.8700001,-2.7,-5.7400002
199806,0.41,3.1800001,-3.6700001,-2.3199999,-0.51999998,-2.9100001,7.2600002,-0.70999998,-1.48,3.3899999,1.39,-1.36,-1.77,-0.020000011,8.3500004,2.8,2.4299998,4.4000001,5.77,3.0999999,1.4200001
199807,0.40000001,-2.46,-5.3200002,-0.97000003,1.8200001,0.44999999,3.6800001,0.40000001,-1.84,-4.4700003,-1.72,-5.2200003,-7.1900001,-8.5199995,0.090000004,3.4299998,-5.7400002,-3.5,-0.62,-1.39,-4.5
